"","dataSetName","functionName","nTrainningPoints","compTime","seed","trainAndTestRatio","maxit","learnRate","momentum","networkSize","train.Accuracy","train.Kappa","train.AccuracyLower","train.AccuracyUpper","train.AccuracyNull","train.AccuracyPValue","train.McnemarPValue","train.Sensitivity","train.Specificity","train.Pos.Pred.Value","train.Neg.Pred.Value","train.Precision","train.Recall","train.F1","train.Prevalence","train.Detection.Rate","train.Detection.Prevalence","train.Balanced.Accuracy","train.AUC","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","test.Sensitivity","test.Specificity","test.Pos.Pred.Value","test.Neg.Pred.Value","test.Precision","test.Recall","test.F1","test.Prevalence","test.Detection.Rate","test.Detection.Prevalence","test.Balanced.Accuracy","test.AUC"
"21","1 vs ALL","briSelectionPlusPlus","11168","8.93112993240356","1","0.3","25","0.05","0.01","10","0.990419054441261","0.980838108882522","0.988433985456738","0.992141727586809","0.5","0","0.175917952464134","0.99176217765043","0.989075931232092","0.989105197356671","0.991739989226073","0.989105197356671","0.99176217765043","0.990431905570956","0.5","0.495881088825215","0.501343123209169","0.990419054441261","0.999495783593731","0.976619047619048","0.889475461322843","0.974484266490387","0.978620440856814","0.890809523809524","0","4.23394822495044e-94","0.974661891270647","0.99258613170519","0.999068493150685","0.827636363636364","0.999068493150685","0.974661891270647","0.986714289579782","0.890809523809524","0.868238095238095","0.869047619047619","0.983624011487919","0.998750604701217"
"22","1 vs ALL","briSelectionPlusPlusNeg","11168","8.75815224647522","1","0.3","25","0.05","0.01","10","0.98262893982808","0.96525787965616","0.980031344256071","0.984970343829295","0.5","0","0.131628218845362","0.980659025787966","0.984598853868195","0.984537935994247","0.980734926864074","0.984537935994247","0.980659025787966","0.982594652790239","0.5","0.490329512893983","0.498030085959885","0.98262893982808","0.997710789525538","0.988809523809524","0.9442570910402","0.987293285234085","0.990188068910553","0.890809523809524","0","2.51851743499067e-27","0.98925535895654","0.985172263410379","0.998166127292341","0.91829268292683","0.998166127292341","0.98925535895654","0.993690767041641","0.890809523809524","0.881238095238095","0.882857142857143","0.98721381118346","0.999118012196763"
"23","1 vs ALL","briSelectionPlusPlusLog","11168","8.36435914039612","1","0.3","25","0.05","0.01","10","0.987285100286533","0.974570200573066","0.985030486817575","0.989280047520894","0.5","0","0.0149484342094797","0.989971346704871","0.984598853868195","0.984681154257214","0.989917176809507","0.984681154257214","0.989971346704871","0.987319164136453","0.5","0.494985673352436","0.502686246418338","0.987285100286533","0.998942883781742","0.985952380952381","0.930870765892995","0.984267814683361","0.9875003684204","0.890809523809524","0","1.41117323512615e-41","0.985887635644411","0.986480593109464","0.998321966006279","0.895486935866983","0.998321966006279","0.985887635644411","0.992065840079611","0.890809523809524","0.878238095238095","0.879714285714286","0.986184114376937","0.998933189441389"
"24","1 vs ALL","briSelectionPlusPlusLogNeg","11168","8.71310806274414","1","0.3","25","0.05","0.01","10","0.987732808022923","0.975465616045845","0.985514412607586","0.98969117308668","0.5","0","0.087503695756171","0.989613180515759","0.985852435530086","0.985905441570027","0.989573970879022","0.985905441570027","0.989613180515759","0.987755831620341","0.5","0.49480659025788","0.501880372492837","0.987732808022923","0.998959207795913","0.986","0.931117718881258","0.984318084886017","0.987545318554867","0.890809523809524","0","4.6643974435707e-42","0.985887635644411","0.986916703009158","0.998376008228225","0.895528294420261","0.998376008228225","0.985887635644411","0.992092522861754","0.890809523809524","0.878238095238095","0.879666666666667","0.986402169326785","0.998975968169456"
"25","9 vs ALL","baseLine","49000","34.9751563072205","1","0.3","25","0.05","0.01","10","0.988714285714286","0.936663142752932","0.987739260633555","0.989630747489553","0.90069387755102","0","0.0740957489813478","0.994222141659492","0.938758734073161","0.993254408402562","0.947128343354758","0.993254408402562","0.994222141659492","0.993738039428837","0.90069387755102","0.895489795918367","0.901571428571429","0.966490437866326","0.996867920513567","0.987476190476191","0.929753744584565","0.985878921685111","0.988936299630249","0.900380952380952","0","0.0842477996483024","0.99381214300825","0.930210325047801","0.992290225484501","0.943286476005817","0.992290225484501","0.99381214300825","0.993050601136213","0.900380952380952","0.894809523809524","0.901761904761905","0.962011234028026","0.996002203079741"
"26","9 vs ALL","briSelection","9732","7.16470980644226","1","0.3","25","0.05","0.01","10","0.943690916563913","0.887381833127826","0.938925258047307","0.948188802244888","0.5","0","3.39600721042124e-10","0.928483353884094","0.958898479243732","0.957609156422213","0.930594335859593","0.957609156422213","0.928483353884094","0.942821368948247","0.5","0.464241676942047","0.484792437320181","0.943690916563913","0.986222374938107","0.662571428571429","0.235601155724451","0.656130376142012","0.668967450565709","0.900380952380952","1","0","0.630896974825471","0.948852772466539","0.991110003323363","0.221441320838911","0.991110003323363","0.630896974825471","0.771005687693899","0.900380952380952","0.568047619047619","0.573142857142857","0.789874873646005","0.889979218079613"
"27","9 vs ALL","briSelectionPlusPlus","9732","7.6056547164917","1","0.3","25","0.05","0.01","10","0.958076448828607","0.916152897657213","0.953903898357869","0.961971944060982","0.5","0","0.655910490044247","0.9570489108097","0.959103986847513","0.959019769357496","0.957136997538967","0.959019769357496","0.9570489108097","0.958033326476034","0.5","0.47852445540485","0.498972461981093","0.958076448828607","0.991965818333305","0.921380952380952","0.666782637444594","0.917658333068795","0.924986422139273","0.900380952380952","4.50636643989654e-26","2.94330918762643e-291","0.917125026443833","0.959847036328872","0.995179340028694","0.561678321678322","0.995179340028694","0.917125026443833","0.954559216139598","0.900380952380952","0.825761904761905","0.829761904761905","0.938486031386353","0.984102920511556"
"28","9 vs ALL","briSelectionPlusPlusNeg","9732","7.51509428024292","1","0.3","25","0.05","0.01","10","0.953349773941636","0.906699547883272","0.948970792227827","0.957454785118643","0.5","0","0.0435818895649817","0.948828606658446","0.957870941224825","0.957486520116134","0.94928716904277","0.957486520116134","0.948828606658446","0.953137902559868","0.5","0.474414303329223","0.495478832716811","0.953349773941636","0.989495714917284","0.951047619047619","0.767873683370242","0.948042479124153","0.953927096959056","0.900380952380952","5.39737987613657e-160","5.25479718007117e-146","0.950973133065369","0.951720841300191","0.994414334697489","0.682316655243317","0.994414334697489","0.950973133065369","0.97220870505542","0.900380952380952","0.856238095238095","0.861047619047619","0.95134698718278","0.989221230626226"
"29","9 vs ALL","briSelectionPlusPlusLog","9732","7.37877321243286","1","0.3","25","0.05","0.01","10","0.953247020139745","0.90649404027949","0.948863688412742","0.957356447947347","0.5","0","0.573728626128995","0.954582819564324","0.951911220715166","0.952039352326296","0.954461158046569","0.952039352326296","0.954582819564324","0.953309389430477","0.5","0.477291409782162","0.501335799424579","0.953247020139745","0.990724241568825","0.942952380952381","0.736815544666915","0.939729834069491","0.946051612469374","0.900380952380952","1.4537073429999e-109","5.30420468879966e-176","0.942405331076793","0.947896749521989","0.993920124944221","0.6455078125","0.993920124944221","0.942405331076793","0.967477467694646","0.900380952380952","0.84852380952381","0.853714285714286","0.945151040299391","0.986394925858166"
"30","9 vs ALL","briSelectionPlusPlusLogNeg","9732","7.67612814903259","1","0.3","25","0.05","0.01","10","0.955302096177559","0.910604192355117","0.951006844667773","0.959322108033912","0.5","0","2.45086947158613e-05","0.964447184545828","0.946157007809289","0.947124117053481","0.963784802177099","0.947124117053481","0.964447184545828","0.955707158130537","0.5","0.482223592272914","0.50914508836827","0.955302096177559","0.991266095772794","0.955571428571429","0.784533004181553","0.95269709858949","0.958318772659263","0.900380952380952","1.19821077365063e-193","6.98375216861266e-117","0.95673788872435","0.945028680688337","0.993683054106015","0.707334525939177","0.993683054106015","0.95673788872435","0.974860560989411","0.900380952380952","0.861428571428571","0.866904761904762","0.950883284706343","0.988362728797304"
