"","dataSetName","functionName","seed","trainAndTestRatio","maxit","learnRate","momentum","networkSize","train.Accuracy","train.Kappa","train.AccuracyLower","train.AccuracyUpper","train.AccuracyNull","train.AccuracyPValue","train.McnemarPValue","train.Sensitivity","train.Specificity","train.Pos.Pred.Value","train.Neg.Pred.Value","train.Precision","train.Recall","train.F1","train.Prevalence","train.Detection.Rate","train.Detection.Prevalence","train.Balanced.Accuracy","train.AUC","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","test.Sensitivity","test.Specificity","test.Pos.Pred.Value","test.Neg.Pred.Value","test.Precision","test.Recall","test.F1","test.Prevalence","test.Detection.Rate","test.Detection.Prevalence","test.Balanced.Accuracy","test.AUC"
"81","2","briSelectionPlusPlus","1","0.3","100","0.05","0.01","25","0.996131325805102","0.992262651610205","0.994671446703822","0.997274677707981","0.5","0","0.00308457098995661","0.998117942283563","0.994144709326642","0.994167881691314","0.998110434600042","0.994167881691314","0.998117942283563","0.996138996138996","0.5","0.499058971141782","0.501986616478461","0.996131325805102","0.999914245197687","0.987904761904762","0.935735412065044","0.98633302870296","0.989339166831369","0.899","0","1.8883691312257e-27","0.988664653848191","0.981140971239981","0.997861534349105","0.906753812636166","0.997861534349105","0.988664653848191","0.993241805023414","0.899","0.888809523809524","0.890714285714286","0.984902812544086","0.99822439282361"
"82","2","briSelectionPlusPlusNeg","1","0.3","100","0.05","0.01","25","0.99508573818486","0.99017147636972","0.99347037241094","0.996387017150748","0.5","0","0.243242705742657","0.994144709326642","0.996026767043078","0.996019275089043","0.99415570862033","0.996019275089043","0.994144709326642","0.995081109366824","0.5","0.497072354663321","0.499058971141782","0.99508573818486","0.999829627378985","0.981476190476191","0.904490845361594","0.97956061697571","0.983256772703353","0.899","0","1.21664519623901e-60","0.981090100111235","0.984912776991985","0.998275304516546","0.854047424366312","0.998275304516546","0.981090100111235","0.989608099804985","0.899","0.882","0.883523809523809","0.98300143855161","0.998321839629878"
"83","2","briSelectionPlusPlusLog","1","0.3","100","0.05","0.01","25","0.996967795901297","0.993935591802593","0.995648129598731","0.997968373629153","0.5","0","1","0.996863237139272","0.997072354663321","0.997071742313324","0.996863892954213","0.997071742313324","0.996863237139272","0.996967478824637","0.5","0.498431618569636","0.499895441237976","0.996967795901297","0.999941838915311","0.984904761904762","0.920992159032565","0.983163015730317","0.986510314457751","0.899","0","4.21825613607298e-44","0.985009799247841","0.983969825553984","0.998174986580784","0.880590717299578","0.998174986580784","0.985009799247841","0.991548694979872","0.899","0.885523809523809","0.887142857142857","0.984489812400913","0.998233358329363"
"84","2","briSelectionPlusPlusLogNeg","1","0.3","100","0.05","0.01","25","0.994772061898787","0.989544123797574","0.9931133553791","0.99611730750942","0.5","0","0.479500122186953","0.995399414470933","0.994144709326642","0.994152046783626","0.995393634840871","0.994152046783626","0.995399414470933","0.994775339602926","0.5","0.497699707235466","0.500627352572146","0.994772061898787","0.999860107285773","0.984571428571429","0.919455759584392","0.98281192688141","0.986194857161376","0.899","0","1.21149895288304e-47","0.984480110175327","0.985384252710985","0.998334855239835","0.87704574066303","0.998334855239835","0.984480110175327","0.991359078301686","0.899","0.885047619047619","0.886523809523809","0.984932181443156","0.998079059228254"
"85","3","baseLine","1","0.3","100","0.05","0.01","25","0.999102040816326","0.99487413558811","0.998794717075585","0.999347468028123","0.902979591836735","0","0.880168454906725","0.999525380825385","0.995161968868321","0.999480202495028","0.995580808080808","0.999480202495028","0.999525380825385","0.999502791149682","0.902979591836735","0.902551020408163","0.903020408163265","0.997343674846853","0.999965114535095","0.994238095238095","0.96750005180039","0.993119128248531","0.99521668933657","0.901428571428571","0","0.363302140886898","0.997094558901215","0.968115942028986","0.996515495485983","0.973288003885381","0.996515495485983","0.997094558901215","0.996804943096301","0.901428571428571","0.898809523809524","0.901952380952381","0.9826052504651","0.999267400108715"
"86","3","briSelection","1","0.3","100","0.05","0.01","25","0.98832562053008","0.97665124106016","0.985957832487309","0.990386686019773","0.5","0","0.000309995952165586","0.992427429533025","0.984223811527135","0.984352180262883","0.99236479321315","0.984352180262883","0.992427429533025","0.988373310987745","0.5","0.496213714766512","0.504101809002945","0.98832562053008","0.999376784140681","0.830666666666667","0.451989411410385","0.825524665258541","0.835716960302035","0.901428571428571","1","0","0.815372424722662","0.970531400966184","0.996063500258131","0.36500726744186","0.996063500258131","0.815372424722662","0.896705978039854","0.901428571428571","0.735","0.737904761904762","0.892951912844423","0.964670129717673"
"87","3","briSelectionPlusPlus","1","0.3","100","0.05","0.01","25","0.994846445098864","0.989692890197728","0.993192385031118","0.996185011858711","0.5","0","0.15312745101967","0.993689524610854","0.996003365586874","0.995994096563356","0.993704092339979","0.995994096563357","0.993689524610854","0.994840475939771","0.5","0.496844762305427","0.49884307951199","0.994846445098864","0.999550806716094","0.968095238095238","0.840627756732033","0.965628706266445","0.97043104363175","0.901428571428571","4.16460888792119e-304","7.42270401746785e-114","0.966772319070259","0.980193236714976","0.997764693054193","0.763355906696764","0.997764693054193","0.966772319070259","0.982024039493454","0.901428571428571","0.871476190476191","0.873428571428571","0.973482777892617","0.995549137299637"
"88","3","briSelectionPlusPlusNeg","1","0.3","100","0.05","0.01","25","0.994846445098864","0.989692890197728","0.993192385031118","0.996185011858711","0.5","0","0.0222709789592329","0.993058477071939","0.996634413125789","0.996622334811062","0.993083211066862","0.996622334811062","0.993058477071939","0.994837214202929","0.5","0.49652923853597","0.498212031973075","0.994846445098864","0.999574788469431","0.978571428571429","0.888442343461588","0.976521528504132","0.980487306832595","0.901428571428571","0","6.23194278197995e-70","0.978182778658214","0.982125603864734","0.998005820847257","0.831152902698283","0.998005820847257","0.978182778658214","0.987994877814534","0.901428571428571","0.881761904761905","0.883523809523809","0.980154191261474","0.997643785520517"
"89","3","briSelectionPlusPlusLog","1","0.3","100","0.05","0.01","25","0.995582667227598","0.991165334455196","0.994033690133828","0.996814575928481","0.5","0","0.0896329942678884","0.996844762305427","0.994320572149769","0.994334872010071","0.996836777730915","0.994334872010071","0.996844762305427","0.995588235294118","0.5","0.498422381152713","0.501262095077829","0.995582667227598","0.999716289663475","0.981","0.899708209419887","0.979061675350381","0.982803494868922","0.901428571428571","0","5.69478933035164e-53","0.98135235076598","0.977777777777778","0.997529936100521","0.851493479175431","0.997529936100521","0.98135235076598","0.989375016643144","0.901428571428571","0.884619047619048","0.886809523809524","0.979565064271879","0.997196319519409"
"90","3","briSelectionPlusPlusLogNeg","1","0.3","100","0.05","0.01","25","0.99411022297013","0.988220445940261","0.992358365370024","0.995547948933246","0.5","0","0.0231033938017641","0.992217080353387","0.996003365586874","0.995988175675676","0.992246437552389","0.995988175675676","0.992217080353387","0.994099051633298","0.5","0.496108540176693","0.498106857383256","0.99411022297013","0.999637043685197","0.981285714285714","0.901375579431915","0.979361003559139","0.983075498471032","0.901428571428571","0","1.66918437676412e-56","0.981299524564184","0.981159420289855","0.997904915390814","0.851572327044025","0.997904915390814","0.981299524564184","0.989532560926888","0.901428571428571","0.884571428571429","0.886428571428571","0.981229472427019","0.997501550334183"
